season	age	league	Tm	G	W	L	season_WinP	career_WinP	fuzzy_name	tenure	rookie	prev_season	W_prev	season_WinP_prev	winP_change	race	compound_mean_mean	compound_mean_std	user_count
2014	40.0	NBA	MEM	82	55.0	27.0	0.6709999999999999	0.506	dave joerger	2.0	False	2013	50.0	0.6097560975609756	0.061243902439024334	W	0.232666134751773	0.39066198397977486	94
2015	41.0	NBA	MEM	82	42.0	40.0	0.512	0.506	dave joerger	3.0	False	2014	55.0	0.6707317073170732	-0.1587317073170732	W	0.1424278870673953	0.43678852661580886	183
2016	42.0	NBA	SAC	82	32.0	50.0	0.39	0.506	dave joerger	1.0	True	2015	33.0	0.4024390243902439	-0.012439024390243913	W	0.20346840717299586	0.4603807843921389	158
2017	43.0	NBA	SAC	82	27.0	55.0	0.329	0.506	dave joerger	2.0	False	2016	32.0	0.3902439024390244	-0.06124390243902439	W	0.17787642743221696	0.41620960505547505	190
2014	62.0	NBA	SAC	30	11.0	19.0	0.3670000000000001	0.588	george karl	1.0	True	2013	28.0	0.34146341463414637	0.025536585365853737	W	0.15807476000000012	0.44861611415467795	125
2015	63.0	NBA	SAC	82	33.0	49.0	0.402	0.588	george karl	2.0	False	2014	29.0	0.35365853658536583	0.04834146341463419	W	-0.017281493930905695	0.43843685375898184	119
2014	49.0	NBA	GSW	82	67.0	15.0	0.8170000000000001	0.8109999999999999	steve kerr	1.0	True	2013	51.0	0.6219512195121951	0.19504878048780494	W	0.23516696992993474	0.40564239667040064	811
2015	50.0	NBA	GSW	82	73.0	9.0	0.89	0.8109999999999999	steve kerr	2.0	False	2014	67.0	0.8170731707317073	0.07292682926829275	W	0.14393758274075638	0.4177314964260352	998
2016	51.0	NBA	GSW	82	67.0	15.0	0.8170000000000001	0.8109999999999999	steve kerr	3.0	False	2015	73.0	0.8902439024390244	-0.07324390243902434	W	0.09836021245771703	0.4407141740426732	1036
2017	52.0	NBA	GSW	82	58.0	24.0	0.7070000000000001	0.8109999999999999	steve kerr	4.0	False	2016	67.0	0.8170731707317073	-0.11007317073170719	W	0.14298037519829745	0.42392724500484485	1409
2014	41.0	NBA	MIL	82	41.0	41.0	0.5	0.491	jason kidd	1.0	True	2013	15.0	0.18292682926829268	0.3170731707317073	B	0.1558941904761905	0.44601782471249524	175
2015	42.0	NBA	MIL	82	33.0	49.0	0.402	0.491	jason kidd	2.0	False	2014	41.0	0.5	-0.09799999999999998	B	0.09314339339339342	0.4794896664356619	111
2016	43.0	NBA	MIL	82	42.0	40.0	0.512	0.491	jason kidd	3.0	False	2015	33.0	0.4024390243902439	0.10956097560975608	B	0.17577504990019963	0.44616564472144166	167
2017	44.0	NBA	MIL	45	23.0	22.0	0.511	0.491	jason kidd	4.0	False	2016	42.0	0.5121951219512195	-0.0011951219512195133	B	0.0344469688364643	0.444677740888504	327
2015	38.0	NBA	CLE	41	27.0	14.0	0.659	0.607	tyronn lue	1.0	True	2014	53.0	0.6463414634146342	0.012658536585365865	B	0.10441924196286445	0.4270868030866569	412
2016	39.0	NBA	CLE	82	51.0	31.0	0.622	0.607	tyronn lue	2.0	False	2015	57.0	0.6951219512195121	-0.07312195121951215	B	0.09213259249958146	0.43595602551482543	362
2017	40.0	NBA	CLE	82	50.0	32.0	0.61	0.607	tyronn lue	3.0	False	2016	51.0	0.6219512195121951	-0.011951219512195133	B	0.0632215237517278	0.4454994553825448	967
2014		NBA	SAC	24	11.0	13.0	0.458	0.458	mike malone	2.0	False	2013	28.0	0.34146341463414637	0.11653658536585365	W	0.030810371289629927	0.4465026451060995	377
2015		NBA	DEN	82	33.0	49.0	0.402	0.458	mike malone	1.0	True	2014	30.0	0.36585365853658536	0.036146341463414666	W	0.10759195266286323	0.47470784028408514	302
2016		NBA	DEN	82	40.0	42.0	0.488	0.458	mike malone	2.0	False	2015	33.0	0.4024390243902439	0.08556097560975606	W	0.12763388435990333	0.46139703904041257	368
