fuzzy_name	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	year	player_join	Player	url	start_year	end_year	height	weight	birth_date	race	total_population	metro_percent_white	metro_percent_black	experience	youth	oldness	height_dummies
jordan reed	0.126405	0.37248864281459915	30	J.Reed	WAS	te	-7	-10.1	2	-0.5460378478914594	-0.5678485483029333	-0.5423133088805785	2017	j reed	jordan reed	/players/R/ReedJo02.htm	2013.0	2018.0	74.0	245.0	July 3, 1990	B	6011752	55.1	25.4	4.0	1.0252100840336134	0.0	tall
jordy nelson	0.11883737689393947	0.4142941338921863	176	J.Nelson	GB	wr	58	-5.0	6	-0.4527653276920847	-0.4307319051787832	0.6520312476424129	2017	j nelson	jordy nelson	/players/N/NelsJo00.htm	2008.0	2018.0	75.0	217.0	May 31, 1985	W	314555	88.0	1.9	9.0	0.0	3.9747899159663866	tall
josh doctson	0.13601632653061227	0.4437434113815751	49	J.Doctson	WAS	wr	37	-7.1	6	-0.6313791725614392	-0.5693706185548093	0.6520312476424129	2017	j doctson	josh doctson	/players/D/DoctJo00.htm	2016.0	2018.0	74.0	202.0	December 3, 1992	B	6011752	55.1	25.4	1.0	4.025210084033613	0.0	tall
josh mccown	0.188089963768116	0.4349605846334529	92	J.McCown	NYJ	qb	62	-8.9	18	-0.589120998898677	-0.5180585233142894	-0.14497062984095602	2017	j mccown	josh mccown	/players/M/McCoJo01.htm	2002.0	2017.0	76.0	218.0	July 4, 1979	W	20031443	58.7	17.1	15.0	0.0	9.974789915966387	tall
juju smith-schuster	0.06289893935393008	0.4489989996870169	541	J.Smith-Schuster	PIT	wr	317	37.3	7	1.750138759029954	2.3618478928240285	1.0185324718074298	2017	j smith-schuster	juju smith-schuster	/players/S/SmitJu00.htm	2017.0	2018.0	73.0	215.0	November 22, 1996	B	2354926	87.1	8.2	0.0	5.025210084033613	0.0	tall
julio jones	0.13042196013865046	0.40837318693260904	647	J.Jones	ATL	wr	313	13.7	3	1.716117074292934	0.8038128282172586	-0.4474724248526367	2017	j jones	julio jones	/players/J/JoneJu02.htm	2011.0	2018.0	75.0	220.0	February 3, 1989	B	5612777	55.1	33.5	6.0	0.0	0.9747899159663866	tall
kareem hunt	0.19003280000000006	0.43155980770878266	125	K.Hunt	KC	rb	222	11.9	8	1.6779839517230903	1.0104738907607005	1.0685085138183976	2017	k hunt	kareem hunt	/players/H/HuntKa00.htm	2017.0	2018.0	71.0	216.0	August 6, 1995	B	2070147	78.8	12.5	0.0	5.025210084033613	0.0	short
keenan allen	0.1405235588972431	0.4076463424240398	76	K.Allen	LAC	wr	378	16.5	6	2.2689694512695078	0.9886644460519602	0.6520312476424129	2017	k allen	keenan allen	/players/A/AlleKe00.htm	2013.0	2018.0	74.0	211.0	April 27, 1992	B	13189366	55.0	6.7	4.0	1.0252100840336134	0.0	tall
kenny stills	0.10717898550724639	0.44547137003475457	23	K.Stills	MIA	wr	107	0.4	6	-0.035999689663590864	-0.07423235649757322	0.6520312476424129	2017	k stills	kenny stills	/players/S/StilKe00.htm	2013.0	2018.0	73.0	202.0	April 22, 1992	B	5926955	71.1	21.4	4.0	1.0252100840336134	0.0	tall
kirk cousins	0.16265700248756215	0.41820310186379667	268	K.Cousins	WAS	qb	395	-0.6	27	-0.041489379648072436	-0.0739865226568653	0.9423090939662148	2017	k cousins	kirk cousins	/players/C/CousKi00.htm	2012.0	2018.0	75.0	202.0	August 19, 1988	W	6011752	55.1	25.4	5.0	0.025210084033613356	0.0	tall
legarrette blount	0.10981975505857293	0.44969795265986173	313	L.Blount	PHI	rb	-9	-9.8	2	-0.7588635287287009	-0.7011725486793233	-0.9269842073523851	2017	l blount	legarrette blount	/players/B/BlouLe00.htm	2010.0	2018.0	72.0	247.0	December 5, 1986	B	6047721	67.5	20.9	7.0	0.0	1.9747899159663866	short
leonard fournette	0.18938332633053206	0.4002713842952609	408	L.Fournette	JAC	rb	115	2.1	9	0.5492277594791869	0.2374722729490768	1.4010906340135278	2017	l fournette	leonard fournette	/players/F/FourLe00.htm	2017.0	2018.0	72.0	228.0	January 18, 1995	B	1424097	70.4	21.4	0.0	5.025210084033613	0.0	short
lesean mccoy	0.12157916666666664	0.471416372905949	42	L.McCoy	BUF	rb	-26	-10.8	6	-0.9381986246926854	-0.7800502647825502	0.4033442734281368	2017	l mccoy	lesean mccoy	/players/M/McCoLe01.htm	2009.0	2018.0	71.0	210.0	July 12, 1988	B	1135503	80.2	12.2	8.0	0.0	2.9747899159663866	short
mark ingram	0.17514864864864862	0.4611246537733236	37	M.Ingram	NOP	rb	193	11.2	12	1.3720593762551163	0.9552594894884414	2.3988369945989194	2017	m ingram	mark ingram	/players/I/IngrMa01.htm	2011.0	2017.0	69.0	215.0	December 21, 1989	B	1250247	58.2	34.9	6.0	0.0	0.9747899159663866	short
