fuzzy_name	year	compound_mean_mean	compound_mean_std	user_count	Player_FO	Tm	position	DYAR	DVOA	TD	z_DYAR	z_DVOA	z_TD	player_join	Player	level_1	start_year	end_year	url	height	weight	birth_date	race	salary	standard_salary	Wins	total_population	metro_percent_white	metro_percent_black	clinton_vote_lead	experience	youth	oldness	rookie	white_black_diff	height_dummies
anquan boldin	2013	0.14615497442028233	0.4009200068827151	430	A.Boldin	SF	wr	386	25.8	7	2.08467558140556	1.5641872072381506	0.7618592839527643	a boldin	anquan boldin	10.0	2003.0	2016.0	/players/B/BoldAn00.htm	73.0	218.0	October 3, 1980	B		14.863362723999122	12.0	4577530.0	52.1	7.6	0.7608918819033	10.0	0.0	5.411971830985915	False	44.5	tall
anquan boldin	2014	0.13527464205816556	0.41677586103148395	149	A.Boldin	SF	wr	222	9.3	5	0.7191307994565987	0.5465254898305989	0.029718319768477545	a boldin	anquan boldin	11.0	2003.0	2016.0	/players/B/BoldAn00.htm	73.0	218.0	October 3, 1980	B	2364000.0	14.675865657508126	8.0	4577530.0	52.1	7.6	0.7608918819033	11.0	0.0	6.411971830985915	False	44.5	tall
anquan boldin	2015	0.20599280303030315	0.4029027526177713	132	A.Boldin	SF	wr	41	-7.9	4	-0.6411414238242119	-0.6924343151277056	-0.3583757258952226	a boldin	anquan boldin	12.0	2003.0	2016.0	/players/B/BoldAn00.htm	73.0	218.0	October 3, 1980	B	6909000.0	15.748335467470932	5.0	4577530.0	52.1	7.6	0.7608918819033	12.0	0.0	7.411971830985915	False	44.5	tall
anquan boldin	2016	0.24964059722222223	0.3981258386693713	120	A.Boldin	DET	wr	140	5.2	8	0.2535898892323406	0.31296575587324377	1.277007579806958	a boldin	anquan boldin	13.0	2003.0	2016.0	/players/B/BoldAn00.htm	73.0	218.0	October 3, 1980	B	2693750.0	14.806444832834195	9.0	4296731.0	69.9	22.4	0.3726	13.0	0.0	8.411971830985916	False	47.50000000000001	tall
anthony fasano	2013	0.2016153846153846	0.47182328055843437	13	A.Fasano	KC	te	-12	-12.7	3	-0.8391995232250181	-1.0171781625321583	-0.3625003765587583	a fasano	anthony fasano	7.0	2006.0	2017.0	/players/F/FasaAn00.htm	76.0	255.0	April 20, 1984	W		14.863362723999122	11.0	2070147.0	78.8	12.5	0.166447325913	7.0	0.0	2.411971830985915	False	66.3	tall
anthony fasano	2014	0.09856944444444443	0.40360952341810624	18	A.Fasano	KC	te	23	2.0	4	-0.0961272186435872	0.21692392607903108	0.1490964453322746	a fasano	anthony fasano	8.0	2006.0	2017.0	/players/F/FasaAn00.htm	76.0	255.0	April 20, 1984	W	4281250.0	15.269755580992673	9.0	2070147.0	78.8	12.5	0.166447325913	8.0	0.0	3.411971830985915	False	66.3	tall
antonio brown	2013	0.18752390909090913	0.40419401713506303	55	A.Brown	PIT	wr	361	15.0	8	1.894004034325784	0.8865911802145825	1.0735289910243495	a brown	antonio brown	3.0	2010.0	2018.0	/players/B/BrowAn04.htm	70.0	181.0	July 10, 1988	B		14.863362723999122	8.0	2354926.0	87.1	8.2	0.164075606407	3.0	1.588028169014085	0.0	False	78.89999999999999	short
antonio brown	2014	0.18606767708333335	0.4175301231781779	160	A.Brown	PIT	wr	554	25.7	13	3.013803138332471	1.6139896498446973	2.3279350485307315	a brown	antonio brown	4.0	2010.0	2018.0	/players/B/BrowAn04.htm	70.0	181.0	July 10, 1988	B	4517500.0	15.323469301448519	11.0	2354926.0	87.1	8.2	0.164075606407	4.0	0.588028169014085	0.0	False	78.89999999999999	short
antonio brown	2015	0.18811237903225805	0.4206919772655676	248	A.Brown	PIT	wr	517	19.7	10	3.139429364073876	1.1302726323450494	1.4756647536862104	a brown	antonio brown	5.0	2010.0	2018.0	/players/B/BrowAn04.htm	70.0	181.0	July 10, 1988	B	7120833.0	15.778535270926875	10.0	2354926.0	87.1	8.2	0.164075606407	5.0	0.0	0.41197183098591506	False	78.89999999999999	short
antonio brown	2016	0.10467374371859295	0.4508651249485575	199	A.Brown	PIT	wr	295	11.1	12	1.4880719093176071	0.6912805078507961	2.723257128022067	a brown	antonio brown	6.0	2010.0	2018.0	/players/B/BrowAn04.htm	70.0	181.0	July 10, 1988	B	11883333.0	16.290647388105974	11.0	2354926.0	87.1	8.2	0.164075606407	6.0	0.0	1.411971830985915	False	78.89999999999999	short
antonio brown	2017	0.16435730331262938	0.43773840868649866	161	A.Brown	PIT	wr	430	20.1	9	2.7112513528507662	1.2263308118394336	1.7515349201374628	a brown	antonio brown	7.0	2010.0	2018.0	/players/B/BrowAn04.htm	70.0	181.0	July 10, 1988	B	13618333.0	16.426927457656028	13.0	2354926.0	87.1	8.2	0.164075606407	7.0	0.0	2.411971830985915	False	78.89999999999999	short
antonio gates	2013	0.1786775362318841	0.445477832169868	23	A.Gates	SDG	te	63	0.7	4	0.26920454318924103	-0.18056779272294304	-0.03815793437460602	a gates	antonio gates	10.0	2003.0	2018.0	/players/G/GateAn00.htm	76.0	255.0	June 18, 1980	B		14.863362723999122	9.0	3253356.0	71.0	5.0	0.17835795150699998	10.0	0.0	5.411971830985915	False	66.0	tall
antonio gates	2014	0.1853823529411765	0.4377263266955198	51	A.Gates	SDG	te	204	24.1	12	2.1402515184372968	1.4576120126076508	2.742078103284877	a gates	antonio gates	11.0	2003.0	2018.0	/players/G/GateAn00.htm	76.0	255.0	June 18, 1980	B	5862500.0	15.584086691736672	9.0	3253356.0	71.0	5.0	0.17835795150699998	11.0	0.0	6.411971830985915	False	66.0	tall
antonio gates	2015	0.25131799999999993	0.4189644725525357	50	A.Gates	SDG	te	113	13.1	5	0.8956941681419005	0.6887102116074043	0.5075546097799212	a gates	antonio gates	12.0	2003.0	2018.0	/players/G/GateAn00.htm	76.0	255.0	June 18, 1980	B	8374264.0	15.940673751216664	4.0	3253356.0	71.0	5.0	0.17835795150699998	12.0	0.0	7.411971830985915	False	66.0	tall
